Time [s],CH1[V],
9.3000184e-04,-0.00000e+00,
9.3200186e-04,-0.00000e+00,
9.3400187e-04,-0.00000e+00,
9.3600189e-04,-0.00000e+00,
9.3800190e-04,3.36000e+00,
9.4000192e-04,3.32000e+00,
9.4200193e-04,3.28000e+00,
9.4400195e-04,3.28000e+00,
9.4600196e-04,3.28000e+00,
9.4800198e-04,3.28000e+00,
9.5000200e-04,3.28000e+00,
9.5200201e-04,3.28000e+00,
9.5400203e-04,3.24000e+00,
9.5600204e-04,3.28000e+00,
9.5800206e-04,3.24000e+00,
9.6000207e-04,3.28000e+00,
9.6200209e-04,3.24000e+00,
9.6400210e-04,3.28000e+00,
9.6600212e-04,3.24000e+00,
9.6800213e-04,3.24000e+00,
9.7000215e-04,3.28000e+00,
9.7200216e-04,3.28000e+00,
9.7400218e-04,3.24000e+00,
9.7600219e-04,3.28000e+00,
9.7800221e-04,3.24000e+00,
9.8000222e-04,3.24000e+00,
9.8200224e-04,3.28000e+00,
9.8400225e-04,3.24000e+00,
9.8600227e-04,3.28000e+00,
9.8800228e-04,3.28000e+00,
9.9000230e-04,3.24000e+00,
9.9200231e-04,3.24000e+00,
9.9400233e-04,3.28000e+00,
9.9600235e-04,3.24000e+00,
9.9800236e-04,3.28000e+00,
1.0000024e-03,3.24000e+00,
1.0020024e-03,3.28000e+00,
1.0040024e-03,3.28000e+00,
1.0060024e-03,3.24000e+00,
1.0080024e-03,3.24000e+00,
1.0100025e-03,3.28000e+00,
1.0120025e-03,3.28000e+00,
1.0140025e-03,3.24000e+00,
1.0160025e-03,3.24000e+00,
1.0180025e-03,3.28000e+00,
1.0200025e-03,3.28000e+00,
1.0220025e-03,3.24000e+00,
1.0240026e-03,3.28000e+00,
1.0260026e-03,3.24000e+00,
1.0280026e-03,3.28000e+00,
1.0300026e-03,3.24000e+00,
1.0320026e-03,3.28000e+00,
1.0340026e-03,3.24000e+00,
1.0360026e-03,3.28000e+00,
1.0380027e-03,3.24000e+00,
1.0400027e-03,3.28000e+00,
1.0420027e-03,3.24000e+00,
1.0440027e-03,3.24000e+00,
1.0460027e-03,3.28000e+00,
1.0480027e-03,3.28000e+00,
1.0500028e-03,3.24000e+00,
1.0520028e-03,3.28000e+00,
1.0540028e-03,3.24000e+00,
1.0560028e-03,3.24000e+00,
1.0580028e-03,3.28000e+00,
1.0600028e-03,3.28000e+00,
1.0620028e-03,3.24000e+00,
1.0640029e-03,3.28000e+00,
1.0660029e-03,3.24000e+00,
1.0680029e-03,3.24000e+00,
1.0700029e-03,3.28000e+00,
1.0720029e-03,3.28000e+00,
1.0740029e-03,3.24000e+00,
1.0760030e-03,3.28000e+00,
1.0780030e-03,3.24000e+00,
1.0800030e-03,3.28000e+00,
1.0820030e-03,3.24000e+00,
1.0840030e-03,3.28000e+00,
1.0860030e-03,3.24000e+00,
1.0880030e-03,3.28000e+00,
1.0900031e-03,3.24000e+00,
1.0920031e-03,3.28000e+00,
1.0940031e-03,3.24000e+00,
1.0960031e-03,3.28000e+00,
1.0980031e-03,3.24000e+00,
